fixture_id,team_id,player_id,position_string,grid_x,grid_y,role,role_profile,side,band
1378975,50,1422,F,4.0,1.0,W,wide forward / winger,R,deep
1378975,50,25004,G,,,GK,goalkeeper,UNK,UNK
1378975,50,18861,D,,,FB,full-back / wing-back,UNK,UNK
1378975,50,81573,F,,,W,wide forward / winger,UNK,UNK
1378975,50,156477,M,,,CM,central / attacking midfielder,UNK,UNK
1378975,50,633,M,,,CM,central / attacking midfielder,UNK,UNK
1378975,50,5,D,,,FB,full-back / wing-back,UNK,UNK
1378975,50,41621,M,,,CM,central / attacking midfielder,UNK,UNK
1378975,50,307123,M,,,CM,central / attacking midfielder,UNK,UNK
1378975,50,360114,D,,,FB,full-back / wing-back,UNK,UNK
1378976,49,18959,G,1.0,1.0,GK,goalkeeper,L,deep
1378976,49,19545,D,2.0,4.0,FB,full-back / wing-back,L,high
1378976,49,366735,D,2.0,3.0,FB,full-back / wing-back,L,mid
1378976,49,19720,D,2.0,2.0,FB,full-back / wing-back,L,deep
1378976,49,47380,D,2.0,1.0,FB,full-back / wing-back,L,deep
1378976,49,5996,M,3.0,2.0,DM,defensive midfielder,C,deep
1378976,49,116117,M,3.0,1.0,DM,defensive midfielder,C,deep
1378976,49,1864,M,4.0,3.0,CM,central / attacking midfielder,R,mid
1378976,49,152982,M,4.0,2.0,DM,defensive midfielder,R,deep
1378976,49,286894,M,4.0,1.0,DM,defensive midfielder,R,deep
1378976,49,10329,F,5.0,1.0,W,wide forward / winger,R,deep
1378976,49,161948,F,,,W,wide forward / winger,UNK,UNK
1378976,49,286616,G,,,GK,goalkeeper,UNK,UNK
1378976,49,308678,M,,,CM,central / attacking midfielder,UNK,UNK
1378976,49,305834,M,,,CM,central / attacking midfielder,UNK,UNK
1378976,49,341642,D,,,FB,full-back / wing-back,UNK,UNK
1378976,49,161907,D,,,FB,full-back / wing-back,UNK,UNK
1378976,49,22094,D,,,FB,full-back / wing-back,UNK,UNK
1378976,49,334037,F,,,W,wide forward / winger,UNK,UNK
